"topicName","wiki","event","resource"
"Information Retrieval","https://www.wikidata.org/wiki/Q816826","http://focu.io/data#COMP_474_6741_lecture1","http://focu.io/data#COMP_474_6741_lecture1_slides01"
"Description Logics","https://www.wikidata.org/wiki/Q387196","http://focu.io/data#COMP_474_6741_lecture4","http://focu.io/data#COMP_474_6741_lecture4_slides04"
"Amazon","https://www.wikidata.org/wiki/Q3884","http://focu.io/data#COMP_474_6741_lecture5","http://focu.io/data#COMP_474_6741_lecture5_slides05"
"MOD","https://www.wikidata.org/wiki/Q48815227","http://focu.io/data#COMP_474_6741_lecture8","http://focu.io/data#COMP_474_6741_lecture8_slides08"
"Tokenization","https://www.wikidata.org/wiki/Q1948408","http://focu.io/data#COMP_474_6741_lecture8","http://focu.io/data#COMP_474_6741_lecture8_worksheet07"
"Finite State Machine","https://www.wikidata.org/wiki/Q176452","http://focu.io/data#COMP_474_6741_lecture7","http://focu.io/data#COMP_474_6741_lecture7_slides07"
"Auteur","https://www.wikidata.org/wiki/Q788514","http://focu.io/data#COMP_474_6741_lecture2","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"ASK","https://www.wikidata.org/wiki/Q477284","http://focu.io/data#COMP_474_6741_lecture7","http://focu.io/data#COMP_474_6741_lecture7_slides07"
"Comparing","https://www.wikidata.org/wiki/Q645999","http://focu.io/data#COMP_474_6741_lecture5","http://focu.io/data#COMP_474_6741_lecture5_slides05"
"Wikidata","https://www.wikidata.org/wiki/Q2013","http://focu.io/data#COMP_474_6741_lecture2","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"Microsoft Tay","https://www.wikidata.org/wiki/Q23518144","http://focu.io/data#COMP_474_6741_lecture1","http://focu.io/data#COMP_474_6741_lecture1_slides01"
"Cambridge University","https://www.wikidata.org/wiki/Q35794","http://focu.io/data#COMP_474_6741_lecture5","http://focu.io/data#COMP_474_6741_lecture5_slides05"
"LLM","https://www.wikidata.org/wiki/Q754848","http://focu.io/data#COMP_474_6741_lecture2","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"Text Mining","https://www.wikidata.org/wiki/Q676880","http://focu.io/data#COMP_474_6741_lecture1","http://focu.io/data#COMP_474_6741_lecture1_slides01"
"Software Engineering","https://www.wikidata.org/wiki/Q80993","http://focu.io/data#COMP_474_6741_lecture2","http://focu.io/data#COMP_474_6741_lecture2_slides02"
